K,G,S,CV,NPfix
10.0,0.95,1.0,0.1,0.98096
10.0,0.95,1.0,0.5,0.992578399796372
10.0,0.95,1.0,1.0,1.0505357704942744
10.0,1.0,0.0,0.0,1.0011323019554381
10.0,1.0,0.0,0.01,1.000627021318725
10.0,1.0,0.0,0.1,0.9995657334761587
10.0,1.0,0.0,0.5,0.999499084263419
10.0,1.0,0.0,1.0,1.0010260474110784
10.0,1.0,0.01,0.0,0.9981868958463245
10.0,1.0,0.01,0.01,1.0005907501291622
10.0,1.0,0.01,0.1,1.0012904025023486
10.0,1.0,0.01,0.5,1.0005788794658734
10.0,1.0,0.01,1.0,0.9994010686351741
10.0,1.0,0.1,0.0,1.0015051015233574
10.0,1.0,0.1,0.01,1.0017110096578792
10.0,1.0,0.1,0.1,1.0023654690294261
10.0,1.0,0.1,0.5,0.9996620765396638
10.0,1.0,0.1,1.0,1.002122728107215
10.0,1.0,0.5,0.0,1.001236163173539
10.0,1.0,0.5,0.01,1.0019202688376372
10.0,1.0,0.5,0.1,0.999527918802034
10.0,1.0,0.5,0.5,0.9994908652744661
10.0,1.0,0.5,1.0,1.0015431155656054
10.0,1.0,1.0,0.0,0.999056
10.0,1.0,1.0,0.01,0.999548
10.0,1.0,1.0,0.1,1.001104
10.0,1.0,1.0,0.5,1.000332804054596
10.0,1.0,1.0,1.0,0.9977291671360021
100.0,0.25,0.0,0.0,1.7296225051693113
100.0,0.25,0.0,0.01,1.731704534309065
100.0,0.25,0.0,0.1,1.8435623348546721
100.0,0.25,0.0,0.5,1.9999679992959845
100.0,0.25,0.0,1.0,1.9999959999599997
100.0,0.25,0.01,0.0,1.530314188513108
100.0,0.25,0.01,0.01,1.5335301239781063
100.0,0.25,0.01,0.1,1.7486239707301061
100.0,0.25,0.01,0.5,1.9999679992959845
100.0,0.25,0.01,1.0,1.9999879998559982
100.0,0.25,0.1,0.0,0.504172
100.0,0.25,0.1,0.01,0.501516
100.0,0.25,0.1,0.1,0.628652
100.0,0.25,0.1,0.5,1.9999079983439703
100.0,0.25,0.1,1.0,1.9999879999519998
100.0,0.25,0.5,0.0,0.38068
100.0,0.25,0.5,0.01,0.381116
100.0,0.25,0.5,0.1,0.380828
100.0,0.25,0.5,0.5,1.9380776709906131
100.0,0.25,0.5,1.0,1.9998919984879788
100.0,0.25,1.0,0.0,0.352488
100.0,0.25,1.0,0.01,0.35162
100.0,0.25,1.0,0.1,0.35454
100.0,0.25,1.0,0.5,0.567449079185267
100.0,0.25,1.0,1.0,1.9928593573421607
100.0,0.3,0.0,0.0,1.6605631518563828
100.0,0.3,0.0,0.01,1.6597175925091743
100.0,0.3,0.0,0.1,1.7831556900256103
100.0,0.3,0.0,0.5,1.9997479697563707
100.0,0.3,0.0,1.0,1.999959998719959
100.0,0.3,0.01,0.0,1.465283045301258
100.0,0.3,0.01,0.01,1.4679047428457075
100.0,0.3,0.01,0.1,1.683484346785075
100.0,0.3,0.01,0.5,1.999735975181667
100.0,0.3,0.01,1.0,1.9999519980799232
100.0,0.3,0.1,0.0,0.58258
100.0,0.3,0.1,0.01,0.581124
100.0,0.3,0.1,0.1,0.700224
100.0,0.3,0.1,0.5,1.9993919075699507
100.0,0.3,0.1,1.0,1.9999519980799232
100.0,0.3,0.5,0.0,0.468748
100.0,0.3,0.5,0.01,0.47042
100.0,0.3,0.5,0.1,0.467976
100.0,0.3,0.5,0.5,1.915912346835058
100.0,0.3,0.5,1.0,1.9996639771504463
100.0,0.3,1.0,0.0,0.44204
100.0,0.3,1.0,0.01,0.4418
100.0,0.3,1.0,0.1,0.442416
100.0,0.3,1.0,0.5,0.6418277019324232
100.0,0.3,1.0,1.0,1.988582401536215
100.0,0.35,0.0,0.0,1.592400338047575
100.0,0.35,0.0,0.01,1.5922518683466433
100.0,0.35,0.0,0.1,1.7210005789367195
100.0,0.35,0.0,0.5,1.9990116422144817
100.0,0.35,0.0,1.0,1.9997759623616767
100.0,0.35,0.01,0.0,1.4087810384650796
100.0,0.35,0.01,0.01,1.413719599456388
100.0,0.35,0.01,0.1,1.6220258000953185
100.0,0.35,0.01,0.5,1.9989875808584754
100.0,0.35,0.01,1.0,1.9997479566485437
100.0,0.35,0.1,0.0,0.65128
100.0,0.35,0.1,0.01,0.650164
100.0,0.35,0.1,0.1,0.755232
100.0,0.35,0.1,0.5,1.9981388349106541
100.0,0.35,0.1,1.0,1.999651935956216
100.0,0.35,0.5,0.0,0.546284
100.0,0.35,0.5,0.01,0.551252
100.0,0.35,0.5,0.1,0.549232
100.0,0.35,0.5,0.5,1.8913088288562332
100.0,0.35,0.5,1.0,1.998755666518627
100.0,0.35,1.0,0.0,0.522556
100.0,0.35,1.0,0.01,0.522308
100.0,0.35,1.0,0.1,0.522212
